Reactions standart Gibbe energy,,,,,,
Reaction index,Reaction name,ec number,Formula,Sub-System,standart Gibbs energy (kJ/mol),standart deviation (kJ/mol)
24,"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",unknown, (-1) 26dap-DASH-M[e] <=>  (1) 26dap-DASH-M[p],"Transport, Outer Membrane Porin",0,0
25, 2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2ddecg3p[p] <=>  (1) 2ddecg3p[c],"Transport, Inner Membrane",0,0
26, 2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2tdecg3p[p] <=>  (1) 2tdecg3p[c],"Transport, Inner Membrane",0,0
27, 2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2tdec7eg3p[p] <=>  (1) 2tdec7eg3p[c],"Transport, Inner Membrane",0,0
28, 2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2hdecg3p[p] <=>  (1) 2hdecg3p[c],"Transport, Inner Membrane",0,0
29, 2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2hdec9eg3p[p] <=>  (1) 2hdec9eg3p[c],"Transport, Inner Membrane",0,0
30, 2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2odecg3p[p] <=>  (1) 2odecg3p[c],"Transport, Inner Membrane",0,0
31, 2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2odec11eg3p[p] <=>  (1) 2odec11eg3p[c],"Transport, Inner Membrane",0,0
32, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe120[p] <=>  (1) 2agpe120[c],"Transport, Inner Membrane",0,0
33, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe140[p] <=>  (1) 2agpe140[c],"Transport, Inner Membrane",0,0
34, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe141[p] <=>  (1) 2agpe141[c],"Transport, Inner Membrane",0,0
35, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe160[p] <=>  (1) 2agpe160[c],"Transport, Inner Membrane",0,0
36, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe161[p] <=>  (1) 2agpe161[c],"Transport, Inner Membrane",0,0
37, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe180[p] <=>  (1) 2agpe180[c],"Transport, Inner Membrane",0,0
38, 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpe181[p] <=>  (1) 2agpe181[c],"Transport, Inner Membrane",0,0
39, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),2.3.1.40, (-1) 2agpe120[c] +  (-1) atp[c] +  (-1) ddca[c] <=>  (1) amp[c] +  (1) pe120[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45154901,2.454917008
40, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),2.3.1.40, (-1) 2agpe140[c] +  (-1) atp[c] +  (-1) ttdca[c] <=>  (1) amp[c] +  (1) pe140[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45154901,2.454916789
41, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),2.3.1.40, (-1) 2agpe141[c] +  (-1) atp[c] +  (-1) ttdcea[c] <=>  (1) amp[c] +  (1) pe141[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-19.53752341,2.889064856
42, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),2.3.1.40, (-1) 2agpe160[c] +  (-1) atp[c] +  (-1) hdca[c] <=>  (1) amp[c] +  (1) pe160[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-17.65304981,7.261199092
43, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),2.3.1.40, (-1) 2agpe161[c] +  (-1) atp[c] +  (-1) hdcea[c] <=>  (1) amp[c] +  (1) pe161[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45076958,2.454916998
44, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),2.3.1.40, (-1) 2agpe180[c] +  (-1) atp[c] +  (-1) ocdca[c] <=>  (1) amp[c] +  (1) pe180[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45154901,2.454916951
45, 2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),2.3.1.40, (-1) 2agpe181[c] +  (-1) atp[c] +  (-1) ocdcea[c] <=>  (1) amp[c] +  (1) pe181[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45035118,2.45491659
46, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg120[p] <=>  (1) 2agpg120[c],"Transport, Inner Membrane",0,0
47, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg140[p] <=>  (1) 2agpg140[c],"Transport, Inner Membrane",0,0
48, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg141[p] <=>  (1) 2agpg141[c],"Transport, Inner Membrane",0,0
49, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg160[p] <=>  (1) 2agpg160[c],"Transport, Inner Membrane",0,0
50, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg161[p] <=>  (1) 2agpg161[c],"Transport, Inner Membrane",0,0
51, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg180[p] <=>  (1) 2agpg180[c],"Transport, Inner Membrane",0,0
52, 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),unknown, (-1) 2agpg181[p] <=>  (1) 2agpg181[c],"Transport, Inner Membrane",0,0
53, 2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),2.3.1.40, (-1) 2agpg120[c] +  (-1) atp[c] +  (-1) ddca[c] <=>  (1) amp[c] +  (1) pg120[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45154772,2.454917203
54, 2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),2.3.1.40, (-1) 2agpg140[c] +  (-1) atp[c] +  (-1) ttdca[c] <=>  (1) amp[c] +  (1) pg140[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45154772,2.454916595
55, 2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),2.3.1.40, (-1) 2agpg141[c] +  (-1) atp[c] +  (-1) ttdcea[c] <=>  (1) amp[c] +  (1) pg141[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-19.53752212,2.889065186
56, 2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2.3.1.40, (-1) 2agpg160[c] +  (-1) atp[c] +  (-1) hdca[c] <=>  (1) amp[c] +  (1) pg160[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-17.65346692,7.261198961
57, 2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),2.3.1.40, (-1) 2agpg161[c] +  (-1) atp[c] +  (-1) hdcea[c] <=>  (1) amp[c] +  (1) pg161[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45034989,2.454916998
58, 2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2.3.1.40, (-1) 2agpg180[c] +  (-1) atp[c] +  (-1) ocdca[c] <=>  (1) amp[c] +  (1) pg180[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45154772,2.454916562
59, 2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),2.3.1.40, (-1) 2agpg181[c] +  (-1) atp[c] +  (-1) ocdcea[c] <=>  (1) amp[c] +  (1) pg181[c] +  (1) ppi[c],Glycerophospholipid Metabolism,-10.45076829,2.454916979
60, 2-dehydro-D-gluconate reductase (NADH),unknown, (-1) 2dhglcn[c] +  (-1) nadh[c] <=>  (1) glcn[c] +  (1) nad[c],Alternate Carbon Metabolism,-21.20281958,4.205460214
61, 2-dehydro-D-gluconate reductase (NADPH),1.1.1.215, (-1) 2dhglcn[c] +  (-1) nadph[c] <=>  (1) glcn[c] +  (1) nadp[c],Alternate Carbon Metabolism,-19.19381753,4.205460214
62, 2-dehydro-L-gulonate reductase (NADH),unknown, (-1) 2dhguln[c] +  (-1) nadh[c] <=>  (1) idon-DASH-L[c] +  (1) nad[c],Alternate Carbon Metabolism,-21.20281958,4.205460214
63, 2-dehydro-L-gulonate reductase (NADPH),unknown, (-1) 2dhguln[c] +  (-1) nadph[c] <=>  (1) idon-DASH-L[c] +  (1) nadp[c],Alternate Carbon Metabolism,-19.19381753,4.205460214
64, 2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,unknown, (-1) 2mahmp[c] +  (-1) h2o[c] <=>  (1) 4ampm[c] +  (1) pi[c],Cofactor and Prosthetic Group Biosynthesis,-30.08370852,2.375323303
65,dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),unknown, (-1) 34dhpac[e] <=>  (1) 34dhpac[p],"Transport, Outer Membrane Porin",0,0
66, 3AMP transport via diffusion (extracellular to periplasm),unknown, (-1) 3amp[e] <=>  (1) 3amp[p],"Transport, Outer Membrane Porin",0,0
67, 3CMP transport via diffusion (extracellular to periplasm),unknown, (-1) 3cmp[e] <=>  (1) 3cmp[p],"Transport, Outer Membrane Porin",0,0
68, 3GMP transport via diffusion (extracellular to periplasm),unknown, (-1) 3gmp[e] <=>  (1) 3gmp[p],"Transport, Outer Membrane Porin",0,0
69, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),4.2.1.60, (-1) 3hdecACP[c] <=>  (1) h2o[c] +  (1) tdec2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.230057517
70, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),4.2.1.61, (-1) 3hddecACP[c] <=>  (1) h2o[c] +  (1) tddec2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
71, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),4.2.1.61, (-1) 3hcddec5eACP[c] <=>  (1) h2o[c] +  (1) t3c5ddeceACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
72, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),4.2.1.61, (-1) 3hmrsACP[c] <=>  (1) h2o[c] +  (1) tmrs2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
73, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),4.2.1.61, (-1) 3hcmrs7eACP[c] <=>  (1) h2o[c] +  (1) t3c7mrseACP[c],Cell Envelope Biosynthesis,-0.62885483,1.230056742
74, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),4.2.1.61, (-1) 3hpalmACP[c] <=>  (1) h2o[c] +  (1) tpalm2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
75, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),4.2.1.61, (-1) 3hcpalm9eACP[c] <=>  (1) h2o[c] +  (1) t3c9palmeACP[c],Cell Envelope Biosynthesis,-0.62885483,1.230057905
76, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),4.2.1.61, (-1) 3hoctaACP[c] <=>  (1) h2o[c] +  (1) toctd2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
77, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),4.2.1.61, (-1) 3hcvac11eACP[c] <=>  (1) h2o[c] +  (1) t3c11vaceACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
78, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),4.2.1.58, (-1) 3haACP[c] <=>  (1) but2eACP[c] +  (1) h2o[c],Cell Envelope Biosynthesis,-0.6288552,1.23005713
79, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),4.2.1.58, (-1) 3hhexACP[c] <=>  (1) h2o[c] +  (1) thex2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
80, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),4.2.1.58, (-1) 3hoctACP[c] <=>  (1) h2o[c] +  (1) toct2eACP[c],Cell Envelope Biosynthesis,-0.62885483,1.23005713
81, 3-hydroxycinnamate hydroxylase,unknown, (-1) 3hcinnm[c] +  (-1) nadh[c] +  (-1) o2[c] <=>  (1) dhcinnm[c] +  (1) h2o[c] +  (1) nad[c],Alternate Carbon Metabolism,-403.8863115,4.211866909
82, 3-(3-hydroxy-phenyl)propionate hydroxylase,unknown, (-1) 3hpppn[c] +  (-1) nadh[c] +  (-1) o2[c] <=>  (1) dhpppn[c] +  (1) h2o[c] +  (1) nad[c],Alternate Carbon Metabolism,-403.8940934,4.211866909
83, 3-keto-L-gulonate kinase,unknown, (-1) 3dhguln[c] +  (-1) atp[c] <=>  (1) 3dhgulnp[c] +  (1) adp[c],Alternate Carbon Metabolism,-20.8563156,0.571100896
84, 3'-nucleotidase (UMP) (periplasm),unknown, (-1) 3ump[p] +  (-1) h2o[p] <=>  (1) pi[p] +  (1) uri[p],Nucleotide Salvage Pathway,-11.31303785,2.266138796
85, 3'-nucleotidase (CMP) (periplasm),unknown, (-1) 3cmp[p] +  (-1) h2o[p] <=>  (1) cytd[p] +  (1) pi[p],Nucleotide Salvage Pathway,-11.37360809,2.542081584
86, 3'-nucleotidase (AMP) (periplasm),unknown, (-1) 3amp[p] +  (-1) h2o[p] <=>  (1) adn[p] +  (1) pi[p],Nucleotide Salvage Pathway,-16.93977467,3.641603176
87, 3'-nucleotidase (GMP) (periplasm),unknown, (-1) 3gmp[p] +  (-1) h2o[p] <=>  (1) gsn[p] +  (1) pi[p],Nucleotide Salvage Pathway,-7.517179927,4.385896833
88, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),1.1.1.100, (-1) 3odecACP[c] +  (-1) nadph[c] <=>  (1) 3hdecACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69104641,1.062307901
89, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),1.1.1.100, (-1) 3oddecACP[c] +  (-1) nadph[c] <=>  (1) 3hddecACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69104641,1.062307453
90, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),1.1.1.100, (-1) 3ocddec5eACP[c] +  (-1) nadph[c] <=>  (1) 3hcddec5eACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.6907119,1.062307453
91, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),1.1.1.100, (-1) 3omrsACP[c] +  (-1) nadph[c] <=>  (1) 3hmrsACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69062801,1.062307453
92, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),1.1.1.100, (-1) 3ocmrs7eACP[c] +  (-1) nadph[c] <=>  (1) 3hcmrs7eACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69104641,1.062307453
93, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),1.1.1.100, (-1) 3opalmACP[c] +  (-1) nadph[c] <=>  (1) 3hpalmACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69062801,1.062306555
94, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),1.1.1.100, (-1) 3ocpalm9eACP[c] +  (-1) nadph[c] <=>  (1) 3hcpalm9eACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-28.77660241,1.963233121
95, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),1.1.1.100, (-1) 3ooctdACP[c] +  (-1) nadph[c] <=>  (1) 3hoctaACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69104641,1.062307453
96, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),1.1.1.100, (-1) 3ocvac11eACP[c] +  (-1) nadph[c] <=>  (1) 3hcvac11eACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69062801,1.062307453
97, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),1.1.1.100, (-1) actACP[c] +  (-1) nadph[c] <=>  (1) 3haACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.68854054,1.062307453
98, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),1.1.1.100, (-1) 3ohexACP[c] +  (-1) nadph[c] <=>  (1) 3hhexACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69062801,1.062307453
99, 3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),1.1.1.100, (-1) 3ooctACP[c] +  (-1) nadph[c] <=>  (1) 3hoctACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-19.69062801,1.062307453
100, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),2.3.1.41, (-1) malACP[c] +  (-1) ocACP[c] <=>  (1) 3odecACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928221457,1.937098308
101, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),2.3.1.41, (-1) dcaACP[c] +  (-1) malACP[c] <=>  (1) 3oddecACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928221457,1.937098554
102, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),2.3.1.41, (-1) cdec3eACP[c] +  (-1) malACP[c] <=>  (1) 3ocddec5eACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928137568,1.9370988
103, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),2.3.1.41, (-1) ddcaACP[c] +  (-1) malACP[c] <=>  (1) 3omrsACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928639857,1.9370988
104, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),2.3.1.41, (-1) cddec5eACP[c] +  (-1) malACP[c] <=>  (1) 3ocmrs7eACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928221457,1.937099046
105, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),2.3.1.41, (-1) malACP[c] +  (-1) myrsACP[c] <=>  (1) 3opalmACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928221457,1.937098308
106, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),2.3.1.41, (-1) malACP[c] +  (-1) tdeACP[c] <=>  (1) 3ocpalm9eACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928221457,1.937097323
107, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),2.3.1.41, (-1) malACP[c] +  (-1) palmACP[c] <=>  (1) 3ooctdACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928221457,1.937098061
108, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),2.3.1.41, (-1) hdeACP[c] +  (-1) malACP[c] <=>  (1) 3ocvac11eACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928639857,1.937099292
109, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),2.3.1.41, (-1) butACP[c] +  (-1) malACP[c] <=>  (1) 3ohexACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928639857,1.937098061
110, 3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),2.3.1.41, (-1) hexACP[c] +  (-1) malACP[c] <=>  (1) 3ooctACP[c] +  (1) ACP[c] +  (1) co2[c],Cell Envelope Biosynthesis,-1.928639857,1.937097815
111,tripeptide (LalaDgluMdap) transport via ABC system (periplasm),unknown, (-1) LalaDgluMdap[p] +  (-1) atp[c] +  (-1) h2o[c] <=>  (1) LalaDgluMdap[c] +  (1) adp[c] +  (1) pi[c],Murein Recycling,-29.4361481,1.459542669
112,LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm),unknown, (-1) LalaDgluMdap[e] <=>  (1) LalaDgluMdap[p],"Transport, Outer Membrane Porin",0,0
113, 3UMP transport via diffusion (extracellular to periplasm),unknown, (-1) 3ump[e] <=>  (1) 3ump[p],"Transport, Outer Membrane Porin",0,0
114," 4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",1.4.3.6, (-1) dopa[p] +  (-1) h2o[p] +  (-1) o2[p] <=>  (1) 34dhpac[p] +  (1) h2o2[p] +  (1) nh4[p],Nitrogen Metabolism,-86.65387284,2.229462739
115, 4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),unknown, (-1) 4hoxpacd[e] <=>  (1) 4hoxpacd[p],"Transport, Outer Membrane Porin",0,0
116, 4-Hydroxy-L-threonine synthase,unknown, (-1) h2o[c] +  (-1) phthr[c] <=>  (1) 4hthr[c] +  (1) pi[c],Cofactor and Prosthetic Group Biosynthesis,-11.16295949,1.481854052
117,"tetrapeptide L,D-carboxypeptidase",unknown, (-1) LalaDgluMdapDala[c] +  (-1) h2o[c] <=>  (1) LalaDgluMdap[c] +  (1) ala-DASH-D[c],Murein Recycling,-0.960965266,2.003230653
118,"tetrapeptide L,D-carboxypeptidase (periplasm)",unknown, (-1) LalaDgluMdapDala[p] +  (-1) h2o[p] <=>  (1) LalaDgluMdap[p] +  (1) ala-DASH-D[p],Murein Recycling,-0.960965266,2.003230653
119,tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),unknown, (-1) LalaDgluMdapDala[p] +  (-1) atp[c] +  (-1) h2o[c] <=>  (1) LalaDgluMdapDala[c] +  (1) adp[c] +  (1) pi[c],Murein Recycling,-29.4361481,1.459542669
120,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm),unknown, (-1) LalaDgluMdapDala[e] <=>  (1) LalaDgluMdapDala[p],"Transport, Outer Membrane Porin",0,0
121, 5-dehydro-D-gluconate reductase,1.1.1.69, (-1) 5dglcn[c] +  (-1) nadph[c] <=>  (1) glcn[c] +  (1) nadp[c],Alternate Carbon Metabolism,-23.59998431,3.989808585
122," 5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)",unknown, (-1) 5dglcn[p] <=>  (1) 5dglcn[c],"Transport, Inner Membrane",0,0
