,Smiles,Name
53,CN3(C1(C4(C(C2(=C(C1)C=CC(=C2O)OC))(CC3)C=C(C(C=4)O)OC))),Salutaridinol
54,CC34(C(C2(C(C1(C(CC(O)CC1)CC2)C)CC3))CC(O)C4),Hydroxysteroid
55,CC1(N=CSC(CCO)=1),4-METHYL-5-THIAZOLEETHANOL
56,CC(CCCC(C)CC(=O)O)CCCC(C)CCCC(C)CO,CHEBI:84925
57,C1(NC2(C(C(CC=O)=1)=CC(=CC=2)O)),Hydroxyindoleacetaldehyde
58,C(O)C1(OC(C(O)C(O)C(O)1)C4(=C(OC2(OC(CO)C(O)C(O)C(O)2))C=C3(OC(=CC(C3=C(O)4)=O)C5(C=CC(O)=CC=5)))),isovitexin 7-O-glucoside
59,CC(=O)NCCC2(=CNC1(=C(C=C(O)C=C1)2)),N-Acetyl-5-hydroxytryptamine
60,C(N)(=N)N,guanidine
61,C(OP(=O)(O)OP(O)(=O)O)C1(OC(C(O)C(O)1)N3(C=NC2(C(=O)NC=NC=23))),AC1N3GDE
62,CSCCCCCC(O)(CC(=O)O)C(=O)O,2-(5'-methylthio)pentylmalate
63,CC1(=NCCC2(=C1NC3(C=C(O)C=CC2=3))),harmalol
64,C3(OC4(=CC(O)=CC=C(C(=O)C(C2(C=C1(OCOC1=CC(O)=2)))=3)4)),2-Hydroxypseudobaptigenin
65,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(C(O)=CC=CC=1))C)C)C)C)C)C)C)C,AC1L18DS
66,CC9(OC(C)C8(OC6(O)(CC(=O)C4(=C(O)C2(=C1(C5(=C3(C7(=C(C(=O)CC(O)(OC1C(C)OC(C)2)3)C(O)=C(C(=C(C(=C45)6)7)8)9))))))))),AC1NAENX
67,CCC1(C(O)(C)C=CC(C(C)CC(C)C(C(C)C(C(C(=O)O1)C)=O)OC2(C(C(CC(C)O2)N(C)C)O))=O),AC1MHXBB
68,C2(OC(O)C(=C(C1(C=CC=CC=1))2)CC3(C=CC=CC=3))(=O),Microperfuranone
69,CCCO,1-propanol
70,C2(O)(C(O)C1(OP(O)(=O)OC1C(O)C(O)2)),"hexahydro-1,3,2-benzodioxaphosphol-2,4,5,6,7-pentol-2-oxid"
71,CCN1(C(CCC1=O)=O),N-Ethylsuccinimide
72,CC(C)=CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O,5-Methylhex-4-enoyl-CoA
73,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1(C(CCC=C1C)(C)C))C)C)C)C)C)C,AC1L2RD2
74,CSCCCCCCC(O)(CC(=O)O)C(=O)O,2-(6'-methylthio)hexylmalate
75,CCCCCCCCCCCCCCCCCC(=O)O,stearic acid
76,C=C3(C1(C2(CCC(C(C(CCC1)(C)C)2)3))C),LONGIFOLENE
77,C1(SSCC(O)C(O)1),"1,2-Dithiane-4,5-diol"
78,CSCCCCC(N)C(=O)O,6-(methylsulfanyl)norleucine
79,C(O)C1(OC(C(O)C(O)1)N3(C=NC2(C(=O)NC(=O)NC=23))),9-.beta.-D-Ribofuranosylxanthine
80,CN1(C2(CC(O)CC1CC2)),Tropine
81,C(O)C(NC(=O)C(Cl)Cl)C(C1(C=CC(N(=O)=O)=CC=1))O,Chloromycetny
82,COC5(C=CC4(C1(C(C2(=C(O1)C=C3(OCOC(=C2)3)))(O)COC=4C=5))),Pisatin
83,C(CCC(C(O)=O)N)(NCCCC(=O)O)=O,NSC609423
84,CNCCC(O)=O,3-(methylamino)propanoic acid
85,COC1(=C(O)C2(=C(C=C1)C=C3(N(=C2)CCC4(=C3C=C(O)C(OC)=C4)))),SCHEMBL16804541
86,C(CCN(=O)O)(=O)O,3-nitropropionic acid
87,CSCCCCCCCCC(S)=NO,9-methylthiononylhydroximate
88,CN(C)(C)C(CC1(=CNC(S(=O)CC(C(O)=O)N)=N1))C(=O)O,N-[1-Carboxy-2-[2-[(2-amino-3-hydroxy-3-oxopropyl)sulfinyl]-1H-imidazole-5-yl]ethyl]trimethylaminium
89,C1(NC2(N=C(N)NC(=O)C(N=C1C(O)C(O)COP(O)(=O)OP(O)(=O)OP(O)(=O)O)=2)),"triphosphoric acid, mono[3-(2-amino-1,4,7,8-tetrahydro-4-oxo-6-pteridinyl)-2,3-dihydroxypropyl] ester"
90,CC=CC1(C=CC(=C(C=1)OC)OC),Methyl isoeugenol
91,CC1(C(C(C(NC(C)=O)C(O)O1)O)NC(=O)C),SCHEMBL14765177
92,C(O)(=O)CCC1(C=CC(O)=CC=1),3-(4-Hydroxyphenyl)propionic acid
93,CCSCC(N)C(=O)O,NSC49244
94,CC1(C(N(=O)O)=C(C(=CC=1)O)O),"Benzene-1,2-diol, 4-methyl-3-nitro-"
95,C1(C=C(O)C(=CC=1C2(OC3(C=C(C=C(O)C(C(=O)C(OS(=O)(=O)O)=2)=3)OS(=O)(=O)O)))OS(=O)(=O)O),"Quercetin 3,7,3'-tri-O-sulfate"
96,CC(C1(=C(CC2(=CC=CC(=C(C1=O)2)O))CC(=O)CC(=O)O))=O,SCHEMBL16431187
97,CCCC(C(C(O)=O)O)C(O)=O,3-propylmalic acid
98,C=C(C1(CC(C(CC1)C)O))C,Dihydrocarveol
99,CC1(=CC(OC2(C=C(O)C=CC1=2))=O),4-methylumbelliferone
100,C(CCNCCCCCN)N,Aminopropylcadaverine
101,C(C2(C(C(C(N1(C(N=C(C=C1)N)=O))O2)OP(O)(O)=O)O))O,ChemDiv1_018752
102,CCCCCCCCCCCCCCCC(OCC=C(C=CC=C(C=CC1(C(CCCC=1C)(C)C))C)C)=O,Spectrum_001817
103,CC1(CCCN=1),2-Methyl-1-pyrroline
104,CCCC(=O)CC(=O)OCC,Ethyl 3-oxohexanoate
105,CCCCCCCCCCCCCCCCCCCCCCC(O)CC(O)CCCCC(C)C(O)CC,C34 phthiotriol
106,CC1(=CC(=O)OC(CC(=O)O)1),3-Methylmuconolactone
107,C(O)C1(C(O)C(O)C(O)C(O)O1),Hexopyranose
108,CCCCCC(O)C=CC1(C(CC=CCCCC(=O)O)C(=O)CC(O)1),8-iso PROSTAGLANDIN E2
109,C(OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC1(OC(C(O)C(O)1)N3(C=NC2(C(=O)NC(N)=NC=23))))C4(OC(C(O)C(O)4)N6(C=NC5(C(=O)NC(N)=NC=56))),AC1L19E7
110,CC=C(C(=O)OC)C=C(C)C=C(C=CC=C(C(=O)C12(OC(C(O)(CCO)NC(=O)1)2))C)C,79748-81-5
111,C(=O)(O)C(O)C(O)C(O)CO,D-Arabonic acid
112,C(ONC(N)=O)C(N)C(=O)O,o-(carbamoylamino)serine
113,CC(=O)OCC(O)C#CC1(=CC=C(S1)C2(=CC=CS2)),"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene"
114,CCO,ethanol
115,Cl(=O)(O)(=O)=O,PERCHLORIC ACID
116,C1(=CC=C(C=C1)C(=O)CC(=O)C2(=C(O)C=C(O)C=C(O)2)),"2,5,7-trihydroxyflavanone dibenzoylmethane tautomer"
117,CC(OP(O)(=O)O)C(NC(CCCCCCS)=O)C(=O)O,AC1L191M
118,CC(=CC=C(C(O)=O)O)C=O,"2,4-Hexadienoic acid, 2-hydroxy-5-methyl-6-oxo-, (Z,Z)-"
119,C(C(=O)O)C(C(=O)O)CC(=O)O,Tricarballylic acid
120,C(=O)(O)C(=O)CCC1(C=CC=CC=1),2-oxo-4-phenylbutanoic acid
121,C(C(O)=O)N(CC(O)=O)CC(O)=O,NITRILOTRIACETIC ACID
122,C(O)C(CCC(O)=O)C(O)=O,2-(hydroxymethyl)pentanedioic acid
123,C(=O)(O)C1(C=C(O)C=C(N)C=1),3-Amino-5-hydroxybenzoic acid
124,C(OP(=O)(O)OP(=O)(O)O)C1(OC(C(O)C(OP(=O)(O)OP(=O)(O)O)1)N3(C=NC2(C(=O)NC(N)=NC=23))),AC1L19Z8
125,CSCCCCCCCCC(N(O)O)C(=O)O,2-(dihydroxyamino)-10-(methylsulfanyl)decanoic acid
126,C2(C=C(OS(=O)(=O)O)C(=CC(OC1(C(=CC(=CC(I)=1)CC(C(=O)O)N)I))=2)I),"(2S)-2-AMINO-3-[3,5-DIIODO-4-(3-IODO-4-SULFOOXY-PHENOXY)PHENYL]PROPANOIC ACID"
127,CN1(C2(CCC1CC(=O)C2)),Tropinone
128,CC(N)C(=O)NC(CO)C(O)=O,dl-Alanyl-dl-serine
129,C(N)CCCCN,"Pentane-1,5-diamine"
130,C(OP(=O)(O)OP(=O)(O)O)C1(OC(CC(O)1)N2(C=CC(=O)NC(=O)2)),AC1L19SN
131,C3(C(C2(OC1(C=C(C=C(C=1C(C2O)=O)O)O)))=CC(=C(C=3O)O)O),C15H12O8
132,C1(=CC(C(C=C1)=O)=O),"1,2-Benzoquinone"
133,CCCCCC(=O)C1(=C(O)C2(=C(C=C(O)1)CC3(=C(C(=O)2)C(O)=CC(O)=C3))),noranthrone
134,Br,HYDROBROMIC ACID
135,CS(=O)C,dimethyl sulfoxide
136,C1(CCC(CC1)NS(O)(=O)=O),Cyclamic acid
137,CCCCCC=CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1(C(OP(=O)(O)O)C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O,2-octenoate-CoA
138,CCC=CCCCCCCCCCCO,tetradec-11-en-1-ol
139,CC(C)C(C(O)=O)C(C(O)=O)O,2-hydroxy-3-isopropylsuccinic acid
140,CC(C)C(N)CC(O)=O,3-Amino-4-methylpentanoic acid
141,C(=O)(O)C(N)C=CCP(O)(=O)O,"3-Pentenoic acid,2-amino-5-phosphono-, (3Z)-"
142,CNC2(CCC3(C=C(C(=C(C(C1(C(=CC(=O)C(=CC=1)OC)2))=3)OC)OC)OC)),Demecolcine
143,C1(C=CC(=C(C=1)O)O),pyrocatechol
144,C(NC(N)=N)C(O)=O,glycocyamine
145,CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O,AC1L1AFH
146,CC1(C=CC(=CC(O)=1)C(O)=O),3-Hydroxy-4-methylbenzoic acid
147,CC(C=CC=C(C=CC(O)=O)C)=CC=CC=C(C=CC=C(C=CC(OC)=O)C)C,Bixin
148,C(CCC1(C(=CC=CC=1)O))(O)=O,3-(2-Hydroxyphenyl)propionic acid
149,C(CCCN)NC(=N)N,agmatine
150,C(C1(OC(C(C(C1O)O)O)OC2(C(OC(C(C2O)O)OP(O)(=O)O)CO)))O,AC1NCGNZ
151,CSC(=O)C(COP(O)(O)=O)O,AC1MO444
152,C(CC(O)=O)SSCCC(O)=O,"3,3'-Dithiodipropionic acid"
153,C(S(O)=O)C(=O)C(=O)O,b-sulfinyl pyruvate
154,C(CCCC(C(O)C(=O)O)C(=O)O)(O)=O,"1-Hydroxypentane-1,2,5-tricarboxylate"
155,CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(O)CCCCC(C)C(O)CC,C36 phthiotriol
156,C1(N=CC2(C=CC=CC(C=1)=2)),ISOQUINOLINE
157,CC(C(=O)C(O)=O)C1(C=CC=CC=1),2-oxo-3-phenylbutanoic acid
158,C1(C=CC(CC=NO)=CC=1),Phenylacetaldoxime
159,CC(=O)C1(C=CC=CC=1),ACETOPHENONE
160,C(O)C3(C(O)C(O)C(O)C(OCC2(C(O)C(O)C(O)C(OC1(C(O)C(O)C(O)OC(CO)1))O2))O3),AmbotzGBB1180
161,CC1(CCC2(N(C1)C3(CC4(C(C)(C(C(C)2)3)CCC5(C4CC=C6(C(C)5CCC(C6)OC7(OC(C(C(C7O)O)O)CO))))))),gamma-Chaconine
162,CC1(C)(C2(CCC(C)1C(C)(O)C2)),2-METHYLISOBORNEOL
163,C(NCC(O)=O)=N,Formiminoglycine
164,COC1(=C(C=C3(C(=C1)CC4(C2(=CC(=C(C=C2CC3N4)OC)OC))))OC),(+/-)-Pavine
165,CC(=CCCC(=CC=CC(C)=CC=CC(=CC=CC=C(C=CC=C(C)C=CC=C(CCC=C(C)C)C)C)C)C)C,"2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene"
166,CC(C)=CCC1(=CC=CC2(=C1C(=CN2)CC(NC)C(=O)O)),SCHEMBL16945730
167,C3(OC(C(NC(C1(C(O)=C(C=CC=1)O))=O)COC(=O)C(COC(C(NC(C2(C=CC=C(C=2O)O))=O)3)=O)NC(=O)C4(C(=C(C=CC=4)O)O))=O),AC1L19T2
168,C(C1(OC(C(C1O)O)N2(C3(=C(N=C2)C(=NC=N3)N))))F,AC1L6CW5
169,C1(C=C2(C(=CC=1)N=C(C(=O)O)C=C(O)2)),kynurenic acid
170,C(OP(=O)(O)O)C1(C(OP(=O)(O)O)C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))),3'-Phosphoadenylate
171,COC2(C=CC1(=C(C(CCN)=CN1)C=2)),5-METHOXYTRYPTAMINE
172,C2(O)(OC(COC1(OC(CO)C(O)C(O)C(O)1))C(O)C(O)C(O)2),melibiose
173,C1(C(C(C(C(C1O)O)O)O)O)N,"6-aminocyclohexane-1,2,3,4,5-pentol"
174,C(O)C2(C(O)C(O)C(O)C(OCCC=CCC1(C(CC(=O)O)CCC(=O)1))O2),AC1NAQ3S
175,COC1(C=CC2(=C(C=1)OC(C(N2O)=O)O)),DIMBOA
176,CC(NC(C)(C)C)C(=O)C1(C=CC=C(Cl)C=1),bupropion
177,CCC1(C(C)(C(C(C)C(C(C)CC(C)(C(C(C)C(C(C)C(=O)O1)OC2(CC(C)(C(C(C)O2)O)O))OC3(C(C(CC(C)O3)N(C)C)O))OC4(CC(C(C(C)O4)O)N(C)C))=O)O)O),"(3r,4s,5s,6r,7r,9r,11r,12r,13s,14r)-4-[(4r,6s)-4,5-dihydroxy-4,6-dimethyl-tetrahydropyran-2-yl]oxy-6-[(4s)-4-dimethylamino-3-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-7-(4-dimethylamino-5-hydroxy-6-methyl-tetrahydropyran-2-yl)oxy-14-ethyl-12,13-dihydroxy-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione"
178,C1(O)(C(O)C(OP(O)(O)=O)C(OP(O)(O)=O)C(O)C(O)1),"inositol3,4-bisphosphate"
179,CC1(OC(C(O)C(O)C(O)1)OCC2(C(O)C(O)C(O)C(O2)O)),AC1NALZK
180,CC(CNC(N)=O)C(=O)O,beta-Ureidoisobutyric acid
181,CC(C=CC1(C(C)(C)CCCC=1C))=CC=CC(=CCO)C,9-cis retinol
182,C(OP(=O)(O)O)C1(OC(OP(O)(=O)OP(O)(=O)O)C(O)C(O)1),1-o-[hydroxy(phosphonooxy)phosphoryl]-5-o-phosphonopentofuranose
183,C(NC1(=CC=C(C(=O)O)C=C1))C3(CNC2(=C(C(=O)NC(N)=N2)N=3)),dihydropteroate
184,C12(NC(=O)NC(C=1N=CN2)=O),xanthine
185,CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(O)(=O)OC1(C(C(C(C(O1)CO)OC2(OC(CO)C(O)C(O)C(O)2))O)NC(C)=O))C)C)C)C)C)C)C,AC1MQC8O
186,CC(C)CCCC(C)CCCC(C)CCC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O)=O,AC1NQXC6
187,CCCCCCCCC(CCCCCCCCC(O)=O)O,10-Hydroxystearic acid
188,C(C(O)P(O)(=O)O)O,SCHEMBL3806259
189,C2(C=C1(C(NC(O)=C(O)1)=CC=2)),Dihydroxyindole
190,CC(C12(CCC(C(C1)2)(O)C))C,4-Thujanol
191,COC1(=C(O)C(OC)=CC(C(O)=O)=C1),SYRINGIC ACID
192,C1(NC(N)=CN=1),4-aminoimidazole
193,C(C(=O)O)NC(=O)C=CC1(=CC=CC=C1),"Glycine,N-(1-oxo-3-phenyl-2-propen-1-yl)-"
194,C1(=C(C=CC(O)=C1)C2(C(O)CC3(C(O2)=CC(O)=CC(O)=3))),"3,5,7,4'-Tetrahydroxyflavan"
195,C(=O)(O)CC(N)C1(C=CC=CC=1),3-AMINO-3-PHENYLPROPANOIC ACID
196,CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CCO)=O)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O,AC1NOUP7
197,CC(=O)C2(CCC3(C4(CCC1(=CC(=O)CCC(C)1C(=CCC(C)23)4)))),AC1LBRSP
198,CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)O)CC1(C=CC=CC=1))COP(=O)(OP(=O)(OCC2(C(OP(O)(=O)O)C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))O)O,AC1MRLG6
199,CCCC(=O)CC(=O)NC(CCO)C(=O)O,SCHEMBL3161332
200,CC1(N=C(C(=CN=1)CO)N),(4-Amino-2-methyl-5-pyrimidinyl)methanol
201,CC(=O)NCCCC(N)CC(=O)O,6-Acetamido-3-aminohexanoate
202,C(=O)(O)CC1(C=C(O)C=CC=1),3-Hydroxyphenylacetic acid
203,C(O)C1(C(O)C(O)C(O1)N2(C=CC=C(C(=O)O)C=2)),AC1NE46C
204,C(=O)NC1(CCCCC1),N-Cyclohexylformamide
205,C=CCC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O)=O,AC1NDZBE
206,CC(C)(C(O)C(NCCC(=O)NCCSC(=O)CC(O)C(=O)O)=O)COP(OP(=O)(O)OCC3(C(OP(=O)(O)O)C(O)C(N1(C2(=C(N=C1)C(N)=NC=N2)))O3))(O)=O,Malyl-CoA
207,CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O,73151-67-4
208,CC(C)=CCC1(C(O)=CC=C(C=1)C(C(O)=O)O),3-Dimethylallyl-4-hydroxymandelic acid
209,C(O)C(O)C(O)C(O)CO,D-Arabitol
210,CC(=O)NCCCNCCCCN,N1-Acetylspermidine
211,C(O)(=O)C=CC(CC(=O)C(O)=O)=O,"4,6-dioxohept-2-enedioic acid"
212,C(C(=O)O)C(O)C(N)C(=O)O,3-Hydroxyglutamic acid
213,C(C1(OC(C(C1O)O)(O)CO))O,2-hexulofuranose
214,COC1(C=C(C=CC(O)=O)C=C(O)C(O)=1),"2-Propenoic acid, 3-(3,4-dihydroxy-5-methoxyphenyl)-, (2E)-"
215,C1(C=CC(=CC=1)C(=O)NC2(=CC(O)=CC=C(C(=O)O)2)),2-benzamido-4-hydroxybenzoic acid
216,C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C1(OC(C(O)C(O)1)N3(C=NC2(C(=O)NC(=O)NC=23))),Xanthosine 5'-(tetrahydrogen triphosphate)
217,CCCCCC(C=CC1(C(CCCCCCC(O)=O)C(=O)CC=1))O,AC1MPOV9
218,C(=O)NC1(C(C(=O)CC(N)C(=O)O)=CC=CC=1),Formylkynurenine
219,COC1(C=C(C=CC=1O)CC(C(CC2(=CC=C(C(=C2)OC)O))CO)CO),Flaxseeds extract
220,C12(N=C(O)N=C(C(N=C(C(O)=N1)O)=2)O),Tetrahydroxypteridine
221,CC5(C)(OC1(CC(=O)OCC61(C7(CCC(C)(C(OC2(OC(CO)C(O)C(O)C(O)2))C3(=COC=C3))C4(OC(C(=O)O)4)C(C)(C(=O)CC56)7)))),AC1L3B2K
222,CCCCCCC=CCCCCCCCCCC(=O)O,VACCENIC ACID
223,C(OP(=O)(O)OP(=O)(O)O)C1(OC(C(O)C(O)1)N3(C=NC2(C(=O)NC(N)=NC=23))),Guanosine 5'-diphosphate
224,C(Cl)CC(O)C1(=CC=CC=C1),3-chloro-1-phenylpropan-1-ol
225,CCC15(C=CCN4(CCC2(C3(=CC=C(C=C(NC(C(O)(C1)C(=O)OC)2)3)OC))C45)),AC1MOY8Y
226,C1(N=CC=NC=1C(O)=O),Pyrazine-2-carboxylic acid
227,C(O)C2(C(O)C(O)C(O)C(OC1(C(O)C(O)OC(CO)C(O)1))O2),3alpha-Mannobiose
228,CC(=O)OCCC#CC1(=CC=C(S1)C2(=CC=CS2)),"5-(4-acetoxy-1-butynyl)-2,2'-bithiophene"
229,C=CC(CCC=C(CCC=C(C)C)C)(C)O,NEROLIDOL
